Timestamp,Milliseconds,X,Y,Z
2021-03-04 00:42:37,1582,-0.8292084,5.3659363,7.7351837
2021-03-04 00:42:37,1591,-0.8507538,5.3791046,7.743561
2021-03-04 00:42:37,1602,-0.8459625,5.4018555,7.820175
2021-03-04 00:42:37,1611,-0.81604004,5.373123,7.8321533
2021-03-04 00:42:37,1622,-0.80166626,5.4006653,7.835739
2021-03-04 00:42:37,1631,-0.78730774,5.38031,7.866867
2021-03-04 00:42:37,1642,-0.77653503,5.3791046,7.820175
2021-03-04 00:42:37,1651,-0.7753296,5.3515778,7.7854614
2021-03-04 00:42:37,1662,-0.7825165,5.352768,7.862076
2021-03-04 00:42:37,1672,-0.7932892,5.3264465,7.827362
2021-03-04 00:42:37,1681,-0.8244171,5.2989044,7.7698975
2021-03-04 00:42:37,1692,-0.7884979,5.3419952,7.783066
2021-03-04 00:42:37,1701,-0.8722992,5.373123,7.732788
2021-03-04 00:42:37,1712,-0.9632721,5.373123,7.772293
2021-03-04 00:42:37,1721,-0.9417267,5.4401703,7.930313
2021-03-04 00:42:37,1732,-0.9596863,5.403061,7.901581
2021-03-04 00:42:37,1741,-0.9632721,5.4257965,7.945877
2021-03-04 00:42:37,1752,-0.9369354,5.452133,7.886017
2021-03-04 00:42:37,1761,-0.9417267,5.4736786,7.870453
2021-03-04 00:42:37,1771,-0.9297638,5.450943,7.8489075
2021-03-04 00:42:37,1781,-0.8830719,5.45932,7.791443
2021-03-04 00:42:37,1792,-0.83758545,5.4617157,7.820175
2021-03-04 00:42:38,1802,-0.8351898,5.419815,7.8896027
2021-03-04 00:42:38,1811,-0.8280029,5.3815002,7.8884125
2021-03-04 00:42:38,1822,-0.80166626,5.4006653,7.909958
2021-03-04 00:42:38,1831,-1.3236084,5.462906,7.8249664
2021-03-04 00:42:38,1842,-1.3104401,5.491638,7.6501923
2021-03-04 00:42:38,1852,-1.2649536,5.502411,7.5233
2021-03-04 00:42:38,1861,-1.5929565,5.6005707,7.4035797
2021-03-04 00:42:38,1871,-1.6731567,5.653244,7.4418945
2021-03-04 00:42:38,1881,-1.1057281,5.6700134,7.3832397
2021-03-04 00:42:38,1892,-1.3212128,5.4413605,7.4885864
2021-03-04 00:42:38,1902,-0.16481018,4.6464844,8.028473
2021-03-04 00:42:38,1911,-2.2238312,4.6776123,8.417526
2021-03-04 00:42:38,1921,-1.859909,5.397064,8.558792
2021-03-04 00:42:38,1931,-0.9692688,5.0702667,10.080307
2021-03-04 00:42:38,1941,-0.24501038,4.72789,10.290985
2021-03-04 00:42:38,1952,0.425354,4.705139,10.0551605
2021-03-04 00:42:38,1962,1.6811218,4.782959,9.785812
2021-03-04 00:42:38,1971,1.2525635,4.9385834,9.093887
