,lr,momentum,batch_size,n1,n2,ks,val_acc,predict_time
71,0.000316227766016838,0.95,16,32,112,32,0.9386792182922363,0.25432705879211426
72,0.0010000000000000002,0.95,32,88,32,44,0.948113203048706,0.2419588565826416
73,0.1,0.99,80,56,96,4,0.9150943160057068,0.2829618453979492
74,3.16227766016838e-05,0.8,80,120,32,4,0.23113207519054413,0.2564201354980469
75,0.000316227766016838,0.99,96,40,104,24,0.900943398475647,0.2553751468658447
76,0.000316227766016838,0.95,64,24,32,12,0.7405660152435303,0.247938871383667
77,0.010000000000000002,0.95,96,72,112,4,0.9056603908538818,0.23654532432556152
78,0.0010000000000000002,0.9,96,40,8,40,0.8254716992378235,0.23763632774353027
79,3.16227766016838e-05,0.8,48,88,24,16,0.4433962404727936,0.246262788772583
80,0.00010000000000000002,0.9,96,88,80,56,0.8443396091461182,0.25403428077697754
81,0.1,0.9,80,88,24,4,0.9150943160057068,0.2591829299926758
82,0.00010000000000000002,0.99,16,40,8,12,0.9103773832321167,0.24663686752319336
83,0.0010000000000000002,0.95,64,40,24,28,0.9245283007621765,0.2512335777282715
84,0.0316227766016838,0.9,32,16,72,4,0.9245283007621765,0.253037691116333
85,3.1622776601683805e-06,0.8,16,8,8,60,0.2688679099082947,0.24259471893310547
86,0.1,0.99,96,16,96,24,0.9528301954269409,0.23566675186157227
87,3.1622776601683805e-06,0.95,16,24,48,32,0.4716981053352356,0.24448561668395996
88,1.0000000000000003e-05,0.8,80,72,104,4,0.43396225571632385,0.2821519374847412
89,3.1622776601683805e-06,0.95,64,112,24,4,0.4150943458080292,0.25475025177001953
90,0.1,0.9,48,112,48,60,0.9528301954269409,0.25441455841064453
91,0.0316227766016838,0.95,16,40,64,56,0.948113203048706,0.25166869163513184
92,3.16227766016838e-05,0.8,32,104,88,60,0.8254716992378235,0.2606682777404785
93,0.0316227766016838,0.9,64,120,48,28,0.9669811129570007,0.25240278244018555
94,0.010000000000000002,0.95,64,72,24,24,0.9245283007621765,0.2372884750366211
95,0.000316227766016838,0.95,96,32,56,40,0.8679245114326477,0.24563264846801758
96,1.0000000000000003e-05,0.95,48,8,72,60,0.31603774428367615,0.23410844802856445
97,0.0316227766016838,0.99,96,16,72,44,0.9433962106704712,0.22509074211120605
98,0.1,0.99,96,16,8,20,0.9433962106704712,0.2364823818206787
99,0.00010000000000000002,0.9,64,88,40,36,0.6603773832321167,0.24533796310424805
100,0.00316227766016838,0.8,80,104,16,48,0.9245283007621765,0.25072526931762695
101,0.00010000000000000002,0.8,80,72,96,8,0.21698112785816193,0.3081233501434326
102,0.00010000000000000002,0.95,64,48,8,32,0.75,0.24843478202819824
103,1.0000000000000003e-05,0.9,32,56,96,44,0.7452830076217651,0.25322604179382324
104,0.1,0.95,48,96,40,12,0.9386792182922363,0.267822265625
105,0.010000000000000002,0.9,32,80,16,56,0.9575471878051758,0.24280571937561035
106,0.0316227766016838,0.8,96,80,120,40,0.9622641801834106,0.2622971534729004
107,0.00316227766016838,0.8,16,64,48,4,0.9198113083839417,0.26323461532592773
108,0.0316227766016838,0.99,64,32,96,44,0.9575471878051758,0.23482012748718262
109,0.0010000000000000002,0.95,64,80,32,40,0.9386792182922363,0.24136781692504883
110,0.0316227766016838,0.8,16,48,96,48,0.9669811129570007,0.25147342681884766
111,0.1,0.99,64,32,48,56,0.9528301954269409,0.25080275535583496
112,0.00316227766016838,0.95,48,96,120,12,0.9528301954269409,0.24074125289916992
113,0.010000000000000002,0.95,64,24,72,24,0.9716981053352356,0.24326491355895996
114,0.010000000000000002,0.99,64,24,56,60,0.9622641801834106,0.23989534378051758
115,0.00010000000000000002,0.95,80,48,56,20,0.7735849022865295,0.26625776290893555
116,0.1,0.99,96,40,24,12,0.9386792182922363,0.24305057525634766
117,0.00010000000000000002,0.9,64,80,40,12,0.7452830076217651,0.25754642486572266
118,0.010000000000000002,0.95,80,80,104,40,0.9669811129570007,0.24811315536499023
119,3.16227766016838e-05,0.95,96,8,24,48,0.31603774428367615,0.24373364448547363
120,3.16227766016838e-05,0.95,16,96,8,20,0.5801886916160583,0.2508203983306885
